response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0108,0.0046,0.0000,0.0038,0.0023,0.0001,200,0.0007
0.0106,0.0041,0.0000,0.0038,0.0026,0.0001,200,0.0011
0.0124,0.0043,0.0000,0.0038,0.0042,0.0001,200,0.0009
0.0068,0.0033,0.0000,0.0000,0.0033,0.0001,200,0.0066
0.0069,0.0032,0.0000,0.0000,0.0035,0.0001,200,0.0067
0.0071,0.0027,0.0000,0.0003,0.0040,0.0001,200,0.0064
0.0078,0.0032,0.0000,0.0003,0.0041,0.0001,200,0.0060
0.0077,0.0030,0.0000,0.0003,0.0042,0.0001,200,0.0062
0.0076,0.0028,0.0000,0.0003,0.0043,0.0002,200,0.0064
0.0077,0.0030,0.0000,0.0003,0.0043,0.0001,200,0.0063
0.0078,0.0031,0.0000,0.0003,0.0043,0.0001,200,0.0062
0.0081,0.0033,0.0000,0.0004,0.0043,0.0001,200,0.0061
0.0078,0.0030,0.0000,0.0003,0.0045,0.0001,200,0.0063
0.0077,0.0027,0.0000,0.0003,0.0045,0.0002,200,0.0065
0.0086,0.0034,0.0000,0.0004,0.0046,0.0001,200,0.0059
0.0090,0.0026,0.0000,0.0013,0.0049,0.0002,200,0.0058
0.0090,0.0036,0.0000,0.0004,0.0047,0.0002,200,0.0058
0.0092,0.0026,0.0000,0.0013,0.0050,0.0003,200,0.0057
0.0091,0.0035,0.0000,0.0004,0.0048,0.0003,200,0.0059
0.0091,0.0034,0.0000,0.0004,0.0049,0.0004,200,0.0060
0.0105,0.0035,0.0000,0.0015,0.0053,0.0002,200,0.0048
0.0110,0.0040,0.0000,0.0016,0.0052,0.0002,200,0.0044
0.0107,0.0037,0.0000,0.0015,0.0053,0.0003,200,0.0047
0.0100,0.0028,0.0000,0.0014,0.0054,0.0003,200,0.0055
0.0100,0.0027,0.0000,0.0014,0.0055,0.0003,200,0.0056
0.0132,0.0059,0.0000,0.0014,0.0055,0.0004,200,0.0024
