response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0052,0.0025,0.0000,0.0002,0.0024,0.0002,200,0.0008
0.0054,0.0027,0.0000,0.0001,0.0025,0.0001,200,0.0006
0.0056,0.0025,0.0000,0.0001,0.0028,0.0001,200,0.0007
0.0061,0.0027,0.0000,0.0002,0.0031,0.0001,200,0.0003
0.0060,0.0030,0.0000,0.0001,0.0027,0.0002,200,0.0005
0.0067,0.0000,0.0000,0.0000,0.0040,0.0001,200,0.0065
0.0123,0.0026,0.0000,0.0000,0.0096,0.0001,200,0.0009
0.0072,0.0000,0.0000,0.0000,0.0045,0.0000,200,0.0061
0.0072,0.0000,0.0000,0.0001,0.0046,0.0000,200,0.0063
0.0076,0.0000,0.0000,0.0000,0.0045,0.0002,200,0.0060
0.0121,0.0027,0.0000,0.0000,0.0093,0.0001,200,0.0016
0.0073,0.0000,0.0000,0.0000,0.0046,0.0001,200,0.0064
0.0123,0.0027,0.0000,0.0000,0.0093,0.0002,200,0.0016
0.0126,0.0027,0.0000,0.0001,0.0098,0.0000,200,0.0013
0.0127,0.0028,0.0000,0.0001,0.0098,0.0001,200,0.0014
0.0126,0.0027,0.0000,0.0001,0.0096,0.0003,200,0.0015
0.0129,0.0025,0.0000,0.0001,0.0103,0.0001,200,0.0012
0.0128,0.0027,0.0000,0.0001,0.0097,0.0003,200,0.0015
0.0132,0.0029,0.0000,0.0001,0.0101,0.0000,200,0.0011
0.0137,0.0030,0.0000,0.0001,0.0104,0.0002,200,0.0008
0.0135,0.0026,0.0000,0.0001,0.0106,0.0001,200,0.0012
0.0138,0.0028,0.0000,0.0001,0.0106,0.0002,200,0.0009
0.0138,0.0028,0.0000,0.0001,0.0107,0.0002,200,0.0010
0.0137,0.0029,0.0000,0.0001,0.0105,0.0002,200,0.0011
0.0140,0.0028,0.0000,0.0001,0.0110,0.0000,200,0.0010
0.0027,0.0000,0.0000,0.0000,0.0025,0.0001,200,0.0133
0.0030,0.0000,0.0000,0.0000,0.0028,0.0001,200,0.0132
0.0031,0.0000,0.0000,0.0000,0.0030,0.0001,200,0.0132
0.0056,0.0000,0.0000,0.0001,0.0037,0.0001,200,0.0143
0.0038,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0161
0.0042,0.0000,0.0000,0.0000,0.0030,0.0001,200,0.0159
0.0040,0.0000,0.0000,0.0000,0.0031,0.0001,200,0.0163
0.0066,0.0000,0.0000,0.0000,0.0033,0.0000,200,0.0138
0.0065,0.0000,0.0000,0.0003,0.0032,0.0001,200,0.0140
0.0058,0.0000,0.0000,0.0000,0.0036,0.0000,200,0.0148
0.0065,0.0000,0.0000,0.0000,0.0037,0.0000,200,0.0142
0.0059,0.0000,0.0000,0.0000,0.0039,0.0000,200,0.0147
0.0059,0.0000,0.0000,0.0003,0.0035,0.0001,200,0.0149
0.0065,0.0000,0.0000,0.0003,0.0034,0.0000,200,0.0143
0.0058,0.0000,0.0000,0.0003,0.0034,0.0000,200,0.0149
0.0070,0.0000,0.0000,0.0000,0.0044,0.0001,200,0.0141
0.0070,0.0000,0.0000,0.0000,0.0042,0.0000,200,0.0141
0.0072,0.0000,0.0000,0.0000,0.0045,0.0000,200,0.0139
0.0076,0.0000,0.0000,0.0003,0.0038,0.0000,200,0.0136
0.0076,0.0000,0.0000,0.0001,0.0048,0.0000,200,0.0137
0.0068,0.0000,0.0000,0.0001,0.0047,0.0001,200,0.0147
0.0070,0.0000,0.0000,0.0000,0.0050,0.0000,200,0.0145
0.0082,0.0000,0.0000,0.0001,0.0052,0.0001,200,0.0135
0.0027,0.0000,0.0000,0.0000,0.0025,0.0001,200,0.0210
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,0.0214
